kappa,concentration,mu,monotonicity,seed,face_value,outside_mid_ratio,big_entity_share,delta_passive,delta_active,trading_effect,trading_relief_ratio,phi_passive,phi_active,passive_run_id,passive_status,active_run_id,active_status,dealer_total_pnl,dealer_total_return,total_trades
2,1,0,0,127,20,1.0,0.25,0.9809307907721029470596079477,0.9809307907721029470596079477,0E-28,0,0.01906920922789705294039205227,0.01906920922789705294039205227,balanced_passive_fe74a44762ae,completed,balanced_active_b8b9039369bc,completed,0.0,0.0,3
2,1,0.25,0,128,20,1.0,0.25,0.9433886777355471094218843769,0.9100486764019470560778822431,0.0333400013336000533440021338,0.03534068419564602770709640943,0.05661132226445289057811562312,0.08995132359805294392211775688,balanced_passive_d1933ba0f0df,completed,balanced_active_e51af9df5a02,completed,0.0,0.0,5
2,1,0.5,0,129,20,1.0,0.25,1,1,0,0,0,0,balanced_passive_4bcf66f243c2,completed,balanced_active_50fe89bd5893,completed,0.0,0.0,6
2,1,0.75,0,130,20,1.0,0.25,0.9472596346179490598746499533,0.9139218562474996666222162955,0.0333377783704493932524336578,0.03519391849088477511086084323,0.05274036538205094012535004667,0.08607814375250033337778370449,balanced_passive_872a13ee4369,completed,balanced_active_1c131b9c2309,completed,0.0,0.0,7
2,1,1,0,131,20,1.0,0.25,1,1,0,0,0,0,balanced_passive_55d40fe92854,completed,balanced_active_867bb3f4e6bb,completed,0.0,0.0,6
2,2,0,0,132,20,1.0,0.25,1,0.8789757951590318063612722545,0.1210242048409681936387277455,0.1210242048409681936387277455,0,0.1210242048409681936387277455,balanced_passive_c6a3a3268b19,completed,balanced_active_86a0220fba98,completed,0.0,0.0,5
2,2,0.25,0,133,20,1.0,0.25,1,1,0,0,0,0,balanced_passive_7746fe395080,completed,balanced_active_6c6c4de4b221,completed,0.0,0.0,7
2,2,0.5,0,134,20,1.0,0.25,1,1,0,0,0,0,balanced_passive_fd5eb288576d,completed,balanced_active_cc7ee77ffc1f,completed,0.0,0.0,6
2,2,0.75,0,135,20,1.0,0.25,1,0.7364806294592251783690071348,0.2635193705407748216309928652,0.2635193705407748216309928652,0,0.2635193705407748216309928652,balanced_passive_87592e7ebd6e,completed,balanced_active_62eaa311518d,completed,0.0,0.0,7
2,2,1,0,136,20,1.0,0.25,1,0.8065613122624524904980996199,0.1934386877375475095019003801,0.1934386877375475095019003801,0,0.1934386877375475095019003801,balanced_passive_e224b9f5fceb,completed,balanced_active_943eabee114a,completed,0.0,0.0,6
2,5,0,0,137,20,1.0,0.25,0.8036404853980530737431657554,0.8036404853980530737431657554,0E-28,0,0.1963595146019469262568342446,0.1963595146019469262568342446,balanced_passive_08e6a25168b7,completed,balanced_active_1939de9f90c4,completed,0.0,0.0,6
2,5,0.25,0,138,20,1.0,0.25,1,1,0,0,0,0,balanced_passive_4666a706f551,completed,balanced_active_c3a4128783f6,completed,0.0,0.0,7
2,5,0.5,0,139,20,1.0,0.25,1,0.8203093745832777703693825843,0.1796906254167222296306174157,0.1796906254167222296306174157,0,0.1796906254167222296306174157,balanced_passive_b3ceda397e07,completed,balanced_active_185e38a78b5a,completed,0.0,0.0,7
2,5,0.75,0,140,20,1.0,0.25,0.9184612307487165811054070271,0.8851256750450030002000133342,0.0333355557037135809053936929,0.03629500580720092915214866433,0.08153876925128341889459297286,0.1148743249549969997999866658,balanced_passive_bb36cfaa28ca,completed,balanced_active_7201284af609,completed,0.0,0.0,7
2,5,1,0,141,20,1.0,0.25,1,1,0,0,0,0,balanced_passive_9b0a0bba2b8b,completed,balanced_active_c3a8e4e4c9c3,completed,0.0,0.0,7
4,0.2,0,0,142,20,1.0,0.25,1,1,0,0,0,0,balanced_passive_52e5e819098f,completed,balanced_active_3afe1890a88f,completed,0.0,0.0,5
4,0.2,0.25,0,143,20,1.0,0.25,0.9307907721029470596079477264,0.9656620882784371249499933324,-0.0348713161754900653420456060,-0.03746418338108882521489971338,0.06920922789705294039205227364,0.03433791172156287505000666756,balanced_passive_b2cb5a79d00c,completed,balanced_active_8b96efe499a3,completed,0.0,0.0,6
4,0.2,0.5,0,144,20,1.0,0.25,1,1,0,0,0,0,balanced_passive_6de3b960ee5b,completed,balanced_active_d633cd45ef8a,completed,0.0,0.0,6
4,0.2,0.75,0,145,20,1.0,0.25,0.9333288885925728381892126142,0.9333288885925728381892126142,0E-28,0,0.06667111140742716181078738583,0.06667111140742716181078738583,balanced_passive_3e7213654744,completed,balanced_active_dc1b39099a4d,completed,0.0,0.0,4
4,0.2,1,0,146,20,1.0,0.25,1,1,0,0,0,0,balanced_passive_ce22a89c657b,completed,balanced_active_2f3091c76976,completed,0.0,0.0,5
